nsites,max_years,max_span,obs.error,Species,full.trend,lcl.full.trend,ucl.full.trend,y20.trend,lcl.y20.trend,ucl.y20.trend
17,78,77,0.128387096774194,Diomedea exulans,0.133586494527972,-0.0912062109992276,0.498024079115977,0.163604693898426,-0.120891889828757,0.564475607741664
2,15,14,0.133333333333333,Thalassarche carteri,-0.0369390131523248,-0.0757676689907722,0.00303990300524903,,,
1,43,42,0.122222222222222,Phoebetria fusca,-0.0374868580869898,-0.0636508036962173,-0.00986941873321696,-0.0243116239676409,-0.0505652263123743,0.0110790042923155
3,52,51,0.278571428571429,Phoebastria irrorata,-0.00437449977212978,-0.123611073508338,0.137387540942339,0.00696934731959242,-0.161994581343965,0.224824568797998
8,21,20,0.1,Diomedea dabbenena,-0.0134614557123882,-0.0285739487282173,-0.000102899890845199,-0.011761171864584,-0.0249984383997696,0.000199453698152052
