bs id,site,Part site name,Species,pop id,Year,Count,Method,Reliability,Survey accuracy,Notes,References,from,date submitted,Version
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2008,376,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2008,220,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2008,16,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2008,59,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2008,105,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2009,398,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2009,96,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2009,551,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2009,315,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2009,246,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2009,18,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2009,51,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2009,119,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2010,207,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2010,65,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2010,549,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2010,335,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2010,391,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2010,15,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2010,54,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2010,82,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2011,192,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2011,17,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2011,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2012,205,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2012,66,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2012,403,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2012,734,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2012,221,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2012,9,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2012,51,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2012,99,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2013,228,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2013,73,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2013,598,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2013,800,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
